names,region,eng_state,admin_date,voc_1,voc_2,voc_3,voc_4,voc_5,voc_6,voc_7,voc_8,cont_1_read_voc,cont_2_read_det,cont_3_read_mi,cont_4_list_det,cont_5_list_voc,cont_6_list_mi,cont_7_rl_ci,cont_8_rl_ci,empd_1_read_voc,empd_2_read_mi,empd_3_read_det,empd_4_list_voc,empd_5_list_det,empd_6_list_mi,empd_7_rl_ci,empd_8_rl_ci,ethc_1_read_mi,ethc_2_read_voc,ethc_3_read_det,ethc_4_list_voc,ethc_5_list_det,ethc_6_list_mi,ethc_7_rl_ci,ethc_8_rl_ci,tort_1_read_mi,tort_2_read_det,tort_3_read_voc,tort_4_list_det,tort_5_list_mi,tort_6_list_voc,tort_7_rl_ci,tort_8_rl_ci
Gilbert Marchand,Eastern Europe,ESL,1958-01-28T22:29:52Z,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
Capucine-Marianne Gaillard,Eastern Europe,ESL,1984-09-06T06:54:25Z,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
Constance Méunier,Eastern Europe,ESL,1955-03-14T22:00:10Z,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
Édouard Evrard,Eastern Europe,ESL,1929-02-15T17:00:29Z,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
Jacqueline Méunier,Eastern Europe,ESL,2009-11-20T13:49:23Z,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
Théodore Herve,Eastern Europe,ESL,1992-12-30T15:05:32Z,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
Antoine Ramos,Eastern Europe,ESL,2015-12-06T10:24:04Z,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
Thomas Goncalves,Eastern Europe,ESL,1997-12-25T05:10:34Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Martine Lopéz,Eastern Europe,ESL,1933-10-06T09:48:46Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Suzanne Colin,Eastern Europe,ESL,1943-06-06T20:40:12Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Virginie Bouvier,Eastern Europe,ESL,1948-08-26T09:46:42Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Émilie Piérre,Eastern Europe,ESL,1944-11-19T01:52:14Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Henriette Vaillant,Eastern Europe,ESL,1946-06-03T23:44:10Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Odette Gautiér,Eastern Europe,ESL,2001-05-06T14:29:20Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Martin Aubry,Eastern Europe,ESL,2003-12-18T03:33:50Z,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
Michèle Cordier,Eastern Europe,ESL,2005-05-24T22:17:46Z,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
Inès Roussél,Eastern Europe,ESL,1995-04-16T16:36:33Z,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
Nicole Goff,Eastern Europe,ESL,1981-01-23T15:35:25Z,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
Joseph Guyot,Eastern Europe,ESL,1977-05-07T09:07:46Z,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
Timothée Lebreton,Eastern Europe,ESL,1978-11-14T00:20:10Z,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
Jacques Marchal,Eastern Europe,ESL,2016-09-02T11:13:49Z,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
Dominique Chauvin-David,Eastern Europe,ESL,2007-01-30T17:55:44Z,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0
Raymond-Jules Sousa,Eastern Europe,ESL,1999-09-20T01:55:56Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Astrid Hebert,Eastern Europe,ESL,2016-12-07T21:19:12Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Laetitia Antoine-Merciér,Eastern Europe,ESL,1982-07-19T03:07:18Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Caroline Duhamel,Eastern Europe,ESL,1974-12-14T14:15:03Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Bernadette d'Delattre,Eastern Europe,ESL,1963-12-11T13:29:29Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
daisy Gillet,Eastern Europe,ESL,1975-04-27T22:02:56Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Étienne Moulin,Eastern Europe,ESL,1957-11-05T01:52:57Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Sébastien Lopéz,Eastern Europe,ESL,1996-08-03T21:29:04Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Louise d'Gautiér,Eastern Europe,ESL,1951-09-23T16:10:17Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
Patrick Lebrun L'Martins,Eastern Europe,ESL,1993-10-19T02:56:07Z,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1
David Peltier,Eastern Europe,ESL,2014-08-05T08:22:08Z,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Guillaume André,Eastern Europe,ESL,1991-12-30T21:12:11Z,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Georges Gosselin-Didier,Eastern Europe,ESL,2017-03-28T22:33:42Z,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Théodore Gomez,Eastern Europe,ESL,1946-09-21T23:54:23Z,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Xavier Blondel,Eastern Europe,ESL,1954-01-30T11:01:27Z,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Alexandrie Charlés,Eastern Europe,ESL,1946-12-18T03:56:48Z,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Thibaut Monnier L'Raymond,Eastern Europe,ESL,2016-09-30T05:17:20Z,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
Étienne Lucas,Eastern Europe,ESL,2012-02-18T00:29:12Z,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
Laure Gomes,Eastern Europe,ESL,1969-11-18T04:10:52Z,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
Alix Lecomté-Méunier,Eastern Europe,ESL,2007-09-18T07:30:34Z,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
Aurélie Garcia,Eastern Europe,ESL,1960-05-09T09:20:05Z,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
Benjamin-André Noél,Eastern Europe,ESL,1944-11-02T22:26:14Z,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
Marcel-Marcel Charrier,Eastern Europe,ESL,1990-09-12T12:02:33Z,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
Frédéric Barbiér,Eastern Europe,ESL,1943-02-26T03:44:59Z,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
Luc L'Hebert,Eastern Europe,ESL,1947-12-08T22:02:33Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laure Ferrand,Eastern Europe,ESL,1973-02-12T20:14:27Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thierry-Honoré Bazin,Eastern Europe,ESL,1950-08-23T09:42:55Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Tanguy,Eastern Europe,ESL,1973-07-19T22:12:49Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorraine L'Hénry,Eastern Europe,ESL,1941-01-09T00:03:11Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilbert Guérin,Eastern Europe,ESL,1957-10-13T17:44:38Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillaume Paul,Eastern Europe,ESL,1934-10-05T17:18:16Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anastasie Hoareau,Eastern Europe,ESL,1978-11-01T21:33:40Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laure-Maryse Robért,Eastern Europe,ESL,2017-11-01T17:00:08Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Didier-Couturier,Eastern Europe,ESL,1950-03-04T10:46:24Z,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thérèse Leduc,Eastern Europe,ESL,1929-12-20T13:31:43Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Théophile Diallo,Eastern Europe,ESL,1994-07-06T04:40:42Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Claude d'Vidal,Eastern Europe,ESL,1952-04-21T03:03:44Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Christelle Santos,Eastern Europe,ESL,1985-12-28T23:41:49Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Inès Grondin,Eastern Europe,ESL,1998-04-28T14:28:30Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Julien Robért,Eastern Europe,ESL,1957-05-09T21:59:47Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Éléonore Boulay,Eastern Europe,ESL,1947-05-30T21:11:57Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Gérard Bailly-André,Eastern Europe,ESL,1951-10-21T03:59:56Z,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1
Agathe L'Dufour,Eastern Europe,ESL,1983-09-05T11:27:11Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Noël Perret-Gregoire,Eastern Europe,ESL,1994-09-01T18:02:38Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Agathe Herve-Mendes,Eastern Europe,ESL,2008-05-27T08:53:24Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Martin Gautiér,Eastern Europe,ESL,2004-10-12T08:33:46Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Olivier Jacob,Eastern Europe,ESL,2000-08-01T17:58:54Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Inès Dufour L'Perrier,Eastern Europe,ESL,1946-07-26T21:09:54Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Georges Bonneau,Eastern Europe,ESL,1928-05-15T05:57:26Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Alfred L'Sauvage,Eastern Europe,ESL,1977-07-05T06:58:00Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Charles Gall,Eastern Europe,ESL,1936-03-04T00:56:19Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Suzanne d'Duhamel,Eastern Europe,ESL,1968-08-22T09:25:32Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Hugues Coulon-Meyér,Eastern Europe,ESL,1938-10-30T19:38:46Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Maggie Legendre L'Bouvet,Eastern Europe,ESL,1967-12-21T08:52:25Z,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
Jérôme Briand,Eastern Europe,ESL,1983-01-05T11:39:14Z,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
Guy d'Chauvet,Eastern Europe,ESL,2004-02-03T08:17:32Z,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
Noël Déschamps,Eastern Europe,ESL,1936-12-03T22:04:21Z,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
Sébastien Merciér,Eastern Europe,ESL,1978-12-12T22:38:08Z,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
Aurore Simon d'Merle,Eastern Europe,ESL,1933-05-10T19:52:25Z,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
Grégoire-Augustin Guillou,Eastern Europe,ESL,1941-07-03T03:03:52Z,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0
Alexandria L'Bodin,Eastern Europe,ESL,1960-12-08T10:15:25Z,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Roger-Thierry Méunier,Eastern Europe,ESL,1990-10-14T17:07:01Z,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Charlotte Marty,Eastern Europe,ESL,2002-11-08T04:31:02Z,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Éric Bénoit,Eastern Europe,ESL,1967-09-29T20:22:36Z,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Théophile Goncalves,Eastern Europe,ESL,1958-07-16T03:12:30Z,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Alfred Clerc,Eastern Europe,ESL,2017-08-21T13:30:26Z,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Thibaut Boyér,Eastern Europe,ESL,1938-12-27T16:26:04Z,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Daniel Bigot,Eastern Europe,ESL,2009-12-25T14:42:15Z,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Milica Koški,Asia,ESL,1996-09-28T23:11:41Z,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Andrea Hinić,Asia,ESL,1967-06-08T12:48:48Z,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Jana Pokas,Asia,ESL,1970-10-04T17:10:27Z,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Anita Đurinić,Asia,ESL,1934-10-05T02:15:16Z,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
Branka Birtić,Asia,ESL,1930-01-23T04:04:32Z,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Luka Bradić,Asia,ESL,2000-02-19T00:41:10Z,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Jozo Halambek,Asia,ESL,2009-03-11T21:21:05Z,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Dora Licul,Asia,ESL,1970-11-12T17:53:50Z,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Jana Jurković,Asia,ESL,1958-05-31T10:23:46Z,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Draga Hećimović,Asia,ESL,1982-08-13T00:24:25Z,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Franciska Jasprica,Asia,ESL,1961-06-08T04:59:07Z,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Janja Miletić,Asia,ESL,1966-10-29T11:24:46Z,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1
Hrvoje Bijelić,Asia,ESL,1999-05-08T18:28:29Z,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1
